Publication Years	Record Count	% of 846,819
2022	56548	6.678
2021	55762	6.585
2020	51080	6.032
2023	48970	5.783
2019	46042	5.437
2018	36886	4.356
2017	35486	4.191
2016	34377	4.060
2015	33293	3.932
2014	31513	3.721
2013	30486	3.600
2012	28434	3.358
2011	26555	3.136
2010	24421	2.884
2009	22312	2.635
2008	21600	2.551
2007	19457	2.298
2006	17806	2.103
2005	16709	1.973
2004	15914	1.879
2003	14716	1.738
2002	13882	1.639
2001	13224	1.562
1999	13037	1.540
2000	12978	1.533
1998	12696	1.499
1997	11850	1.399
1996	11634	1.374
1995	10082	1.191
1994	9413	1.112
1993	8884	1.049
1992	8414	0.994
1991	8235	0.972
1990	3171	0.374
1989	2531	0.299
1988	2418	0.286
1986	2416	0.285
1987	2259	0.267
1985	2148	0.254
1982	2122	0.251
1983	2112	0.249
1984	2032	0.240
1981	1904	0.225
1980	1792	0.212
1979	1611	0.190
1978	1473	0.174
1977	1425	0.168
1976	1203	0.142
1974	1118	0.132
1975	1114	0.132
2024	1017	0.120
1973	948	0.112
1972	902	0.107
1971	827	0.098
1969	702	0.083
1970	629	0.074
1968	591	0.070
1961	476	0.056
1965	417	0.049
1966	415	0.049
1962	412	0.049
1967	403	0.048
1963	364	0.043
1960	304	0.036
1964	276	0.033
1959	270	0.032
1954	227	0.027
1958	207	0.024
1957	206	0.024
1953	197	0.023
1949	176	0.021
1950	175	0.021
1952	170	0.020
1956	164	0.019
1951	163	0.019
1955	160	0.019
1948	140	0.017
1947	129	0.015
1946	114	0.013
1945	93	0.011
